ri,ci,anomaly,intensity
,1.0,True,6
,1.0,True,14
,1.0,True,14
,1.0,True,16
,1.0,True,8
,1.0,True,10
,1.0,True,11
,1.0,True,10
,1.0,True,11
,1.0,True,9
,1.0,True,16
,1.0,True,7
,1.0,True,13
,1.0,True,10
,1.0,True,2
,1.0,True,11
,1.0,True,14
,1.0,True,2
,1.0,True,7
,1.0,True,5
,1.0,True,4
,1.0,True,7
,1.0,True,13
,1.0,True,11
,1.0,True,9
,1.0,True,16
,1.0,True,16
,1.0,True,9
,1.0,True,3
,1.0,True,13
,1.0,True,10
,1.0,True,15
,1.0,True,10
,1.0,True,14
,1.0,True,11
,1.0,True,1
,1.0,True,7
,1.0,True,9
,1.0,True,15
,1.0,True,9
,1.0,True,1
