ri,ci,anomaly,intensity,type
0,1.6262093862815885,False,5,io
0,1.331889534883721,True,11,cpu
0,1.7225125628140705,False,16,cpu
0,12879.198607594935,False,16,cpu
0,4958.161939218524,True,8,cpu
0,1.4156923076923076,True,12,io
0,1.4495652173913045,True,15,io
0,1.7803849238171612,True,7,memory
0,1.5621943573667711,True,8,cpu
0,1.3813525498891353,True,12,io
0,1.6960823045267488,False,8,cpu
0,2088.043406451613,True,7,io
0,1.6758079999999995,False,2,memory
0,1.0840980735551664,True,6,cpu
0,3839.327561837456,True,7,cpu
0,1.700752688172043,False,6,io
0,1.636470588235294,False,8,cpu
0,1.7417021276595743,True,10,cpu
0,1.5080737704918032,False,16,cpu
0,1.4648799480856587,False,8,cpu
0,1.4565443567115652,True,4,io
0,11961.664,True,6,memory
0,5981.1328629579375,True,7,io
0,1.135276073619632,True,7,io
0,1.6073998428908092,True,1,memory
0,11394.275352941177,True,8,cpu
0,1.4886320491345617,True,15,io
0,8230.307099143207,True,5,cpu
0,1.7401041666666666,False,11,cpu
0,1.6367574257425743,True,8,cpu
0,5855.40611328125,True,10,cpu
0,1.8317779565567176,False,11,cpu
0,1.5750413223140496,False,4,cpu
0,1.434122807017544,False,16,cpu
0,1.638120237087214,True,7,io
0,6947.592066929134,True,15,io
0,2432.939865125241,True,16,io
0,1.437892226990939,True,11,cpu
0,1.6981379883624272,False,8,cpu
0,8128.811724754245,True,8,cpu
0,1.6431603229527103,False,12,cpu
0,2468.708536409517,True,15,cpu
0,1.355263748597082,False,10,io
0,10534.453625218914,True,5,cpu
0,1.308595744680851,True,15,cpu
0,1.6597122302158274,True,16,io
0,2940.8793577163246,True,7,io
0,1.3158920539730137,True,4,io
0,1.106060606060606,True,10,memory
0,1.3100564971751412,True,7,cpu
0,1.664948148148148,False,5,io
0,1.1983333333333337,False,10,cpu
0,15483.676845425864,True,16,io
0,1.147805575411008,True,7,io
0,1.670526315789474,False,7,cpu
0,1.5540769230769231,False,16,cpu
0,1.451963470319635,True,11,io
0,1.4665947611710324,True,12,io
0,1.563514302393462,False,5,io
0,1.3462488646684831,True,15,io
0,1.6002355712603062,False,16,cpu
0,1.2824798711755232,False,3,cpu
0,1.448140703517588,True,8,io
0,1.5719242902208204,True,16,io
0,1.1073072625698324,True,4,io
0,1.7306405693950178,True,1,cpu
0,1.609494949494949,False,5,io
0,1.2569620253164555,True,12,io
0,1.3308280254777072,True,8,cpu
0,9954.149376053963,False,12,cpu
0,1.1052399086062452,False,7,io
0,6683.307616361071,True,5,cpu
0,1.6872032742155525,False,10,cpu
0,1.3877356970185335,False,6,cpu
0,1.5563870967741935,False,7,cpu
0,1.5395833333333333,True,15,io
0,1.2897551789077213,False,8,cpu
0,1.3655135135135137,True,15,io
0,1.5469767441860465,False,7,cpu
0,1.1871245283018868,True,7,memory
0,1.5266960352422907,False,6,cpu
0,1.4418909090909091,True,16,io
0,1.5418479880774962,False,14,io
0,1.2706854838709678,True,15,cpu
0,1.631218568665377,True,8,cpu
0,1.664116504854369,False,3,cpu
0,1.6649999999999998,False,10,io
0,1.196,True,4,io
0,1.4825655172413792,True,7,io
0,1.744074074074074,True,6,cpu
0,5504.437016460905,True,15,memory
0,12508.874814814812,True,11,cpu
0,1.1811764705882353,True,7,memory
0,1.6867095736122284,True,6,cpu
0,1.2156808803301238,False,16,cpu
0,4892.42630319149,True,7,cpu
0,1.8223672230652503,True,3,memory
0,1.7617204301075269,False,4,cpu
0,1.518499061913696,True,15,io
0,1.488292682926829,False,7,cpu
0,1.4623315118397089,True,14,memory
0,3129.8291791044776,False,4,cpu
0,1.672244250594766,False,11,cpu
0,1.155930568948891,True,1,cpu
0,1.086666666666667,True,15,cpu
0,1.5416452442159383,True,15,cpu
0,5784.25260219342,True,5,cpu
0,1.2032443531827517,True,11,cpu
0,1.3413483146067415,False,4,cpu
0,1.3433576642335767,False,10,io
0,1.0977615571776156,False,16,cpu
0,1.4848556430446194,False,5,io
0,1.2497683039851717,True,12,cpu
0,1.1674001158077592,True,16,io
0,7716.942648556876,True,3,memory
0,1.6151063829787236,False,7,cpu
0,1.5834682080924856,False,6,cpu
0,1.397748344370861,False,5,io
0,1.221477104874446,False,11,cpu
0,1.593764705882353,False,1,cpu
0,6152.915225806451,True,8,memory
0,1.7577906976744184,True,10,cpu
0,1.0,True,11,io
0,1.6844325971058642,True,15,io
0,1.5031216526396327,False,12,memory
0,1.3325209080047788,False,10,io
0,1.4059373446046743,False,7,io
0,5111.881077065924,True,11,cpu
0,1.29644128113879,False,8,cpu
0,1.336,True,10,memory
0,1.49239608801956,False,10,cpu
0,1.5837849462365592,True,6,cpu
0,21439.279644444443,True,8,cpu
0,7036.443857677903,True,6,memory
0,3652.127492537313,True,3,memory
0,1.4691662065157371,True,11,cpu
0,1.565515643105446,False,4,cpu
0,1.286219281663516,True,12,io
0,10035.515272727273,True,15,io
0,1.4793939393939397,True,11,cpu
0,1.6825922023182296,False,4,cpu
0,1.3757793103448277,True,8,cpu
0,1.6037347294938915,True,5,memory
0,1.1659616858237547,False,13,memory
0,7002.426338639652,True,16,io
0,1.477084454007531,True,11,io
0,1.4564723770907246,True,1,memory
0,1.2274174960712414,True,15,cpu
0,1.4627118644067796,True,4,io
0,4563.892239072257,True,15,cpu
0,1.4962882527147088,False,10,cpu
0,1.452439024390244,True,3,memory
0,17707.175620915034,True,10,cpu
0,1.5054146806482365,True,15,cpu
0,1.660233066278223,True,5,io
0,1.069135802469136,True,15,cpu
0,1.150185758513932,False,13,memory
0,1.4438297872340424,True,14,memory
0,1.6363194444444444,False,11,cpu
0,1.4055649717514125,True,3,memory
0,7766.656911764707,True,8,cpu
0,1.4642105263157896,False,1,cpu
0,1.7212702366127024,True,15,cpu
0,1.6065533980582525,False,10,cpu
0,1.6633187772925764,False,6,memory
0,1.5850609184629805,True,1,memory
0,14007.899573333332,True,5,cpu
0,1.605976331360947,True,15,cpu
0,1.5392687385740402,True,5,io
0,1.6201932367149758,True,10,memory
0,1.5771986222732493,False,7,cpu
0,1.3514320096269554,True,1,cpu
0,1.7010966057441252,False,4,cpu
0,1.7049398556535684,False,6,io
0,1.5583572359843547,False,1,cpu
0,1.1593495934959348,True,11,cpu
0,1.6362261014131336,False,3,cpu
0,1.2995252225519287,True,4,io
0,1.1232335329341316,True,6,cpu
